## Table title (columns are split by Tab!)
TYPE	NAME	DESCRIPTION	UNIT	MODULE	VALUE	IMPACT	CHANGE	MAX	MIN	USE
InstreamWQ	chlora	ChlorophyII-a concentration in reach on the first day	mg chla/L	ChannelRouting	0	0	AC	200	0	Y
Discharge	chs0	initial channel storage	m3/m	All	0	0	AC	100	0	Y
Discharge	chs0_perc	initial percentage of channel depth	none	ALL	0.05	0.05	AC	1	0	Y
Sediment	ChTcCo	calibration coefficient of transport capacity calculation	none	KinWavSed_CH	0.8	1	RC	100000	0.001	Y
Discharge	CHWIDTH	Channel width	m	ALL	-9999	0	AC	-9999	-9999	N
WaterBalance	Clay	Clay proportion	%	ALL	-9999	1	RC	1.2	0.8	Y
Nutrient	cmn	Rate coefficient for mineralization of the humus active organic nutrients	none	NMINRL	0.002	0	AC	0.003	0.001	Y
WaterBalance	CN2	Curve number in condition II	none	ALL	-9999	1	RC	1.3	0.7	Y
Climate	Co2	CO2 Concentration	ppmv	ALL	330	1	RC	350	300	Y
Nutrient	cod_k	Reaction coefficient	None	NUTRMV	0.7	0	AC	0.7	0.1	Y
Nutrient	cod_n	COD conversion factor	None	NUTRMV	6.5	-5.5	AC	6.5	1	Y
Climate	Cond_max	maximum stomatal conductance	m/s	PET_PM	0.005		NC	0	0	Y
Climate	Cond_rate	rate of decline in stomatal conductance	m/s/kPa	PET_PM	3.75		NC	5	0	Y
WaterBalance	Conductivity	Soil hydraulic conductivity	mm/hr	ALL	-9999	1	RC	10	0.1	Y
Nutrient	ConRainAmm	Concentration of ammonia in rainfall	mg N/L	ATMDEP	0	0	AC	15	0	Y
Nutrient	ConRainNitra	concentration of nitrate in the rain	mg N/L	ATMDEP	0	0	AC	15	0	Y
Interception	CoverFrac	vegetation cover fraction	none	All	-9999	1	RC	1	0	Y
PlantGrowth	cswat	carbon modeling method	None	MGT_SWAT	0	0	AC	2	0	Y
Snow	curva_wind	Curvature along wind direction	%	SRD_MB	-9999		NC	-9999	-9999	Y
Snow	D_snow	Snow redistribution coefficient	none	SNO_DD	-9999	1	RC	1.5	0.5	Y
Sediment	decay	dacay constant	1/day	ChannelRouting	0.184	0	NC	1	0	Y
Climate	DEM	Elevation of each grid cell	m	ALL	-9999		NC	-9999	-9999	
WaterBalance	Density	Soil bulk density	mg/cm3	ALL	-9999	1	RC	1.2	0.8	Y
Sediment	depRatio	deposition ratio	None	MUSLE_AS	0.8	1	RC	1	0	Y
WaterBalance	Depre_in	Initial depression storage coefficient	none	ALL	0.2	0	AC	1	0	Y
WaterBalance	Depression	Depression storage capacity	mm	ALL	-9999	1	RC	5	0.5	Y
Discharge	df_coef	Deep percolation coefficient	mm	GW_RSVR	0	0	AC	1	0	Y
InstreamWQ	diso2	Dissolved oxygen concentration in reach on the first day	mg O2/L	ChannelRouting	0	1	RC	1	0	Y
InstreamWQ	disp	Dissolved P concentration in reach on the first day	mg P/L	ChannelRouting	0	0	AC	25	0	Y
PlantGrowth	dormhr	time threshold used to define dormant period for plant	hr	BIO_EPIC	0	1	AC	24	0	Y
Sediment	downcut	 whether do the channel downcutting and widening	none	ChannelRouting	1	0	NC	1	0	Y
Nutrient	drydep_nh4	Atmospheric dry deposition of ammonium	kg/ha/yr	ATMDEP	1	1	RC	1	0	Y
Nutrient	drydep_no3	Atmospheric dry deposition of nitrates	kg/ha/yr	ATMDEP	5	1	RC	7	0	Y
Sediment	eco1	calibration coefficient-1 of transport capacity calculation	none	KinWavSed_OL	146	1	RC	1000	0.001	Y
Sediment	eco2	calibration coefficient-2 of transport capacity calculation	none	KinWavSed_OL	146	1	RC	1000	0.001	Y
Discharge	ep_ch	reach evaporation adjustment factor	m3/m	ALL	1	0	AC	1	0	Y
PlantGrowth	epco	plant water uptake compensation factor	None	BIO_EPIC	1	1	RC	1	0.01	Y
Climate	esco	soil evaporation compensation factor	none	AET_PTH	0.95	1	RC	1	0.01	Y
Pothole	evlai	leaf area index at which no evaporation occurs from water surface	m2/m2	IMP_SWAT	3	1	AC	10	0	Y
Pothole	evpot	Pothole evaporation coefficient	None	IMP_SWAT	0.5	0	AC	2	0	Y
WaterBalance	Fieldcap	Soil field capacity	m3/m3	ALL	-9999	1	RC	1.2	0.8	Y
Sediment	flow_acc	the number of flow accumulation cells of each cell	none	ALL	-9999	0	NC	-9999	-9999	Y
Discharge	FLOW_DIR	Flow direction	none	ALL	-9999	0	AC	-9999	-9999	N
Discharge	FLOWIN_INDEX	The index of flow in cell in the compressed array	none	ALL	-9999	0	AC	-9999	-9999	N
Discharge	FLOWOUT_INDEX	The index of flow in cell in the compressed array	none	ALL	-9999	0	AC	-9999	-9999	N
Groundwater	GW_recharge	Groundwater recharge	m3/s	MUSK_CH	0	0	AC	100	0	Y
Discharge	gw0	Initial groundwater storage	mm	GW_RSVR	100	-50	AC	1000	0	Y
Discharge	gwmax	Maximum groundwater storage	mm	GW_RSVR	300	0	AC	1000	0	Y
Groundwater	gwrq	groundwater recharge to channel or perennial base flow	m3/s	MUSK_CH	0	0.009	AC	100	0	Y
Climate	HCoef_pet	Coefficient related to radiation used in Hargreaves method	none	PET_H	0.0023	1	RC	0.0032	0.0019	Y
Nutrient	igropt	Qual2E algae growth limiting option	none	NutCHRout	2	0	AC	3	1	Y
Interception	Init_IS	Initial interception storage	mm	ALL	0	0	AC	1	0	Y
Nutrient	InitConc_NH4	Initial average concentration of NH4 in the soil	kg/kg	All	0.001	1	RC	0.001	1.00E-05	Y
Nutrient	InitConc_NO3	Initial average concentration of NO3 in the soil	kg/kg	All	0.001	1	RC	0.001	1.00E-05	Y
Nutrient	InitConc_P	Initial average concentration of P in the soil	kg/kg	All	0.001	1	RC	0.001	1.00E-05	Y
Interception	Interc_max	Maximum Interception Capacity	mm	ALL	-9999	1	RC	1.5	0.5	Y
Interception	Interc_min	Minimum Interception Capacity	mm	ALL	-9999	1	RC	1.5	0.5	Y
Nutrient	isep_opt	initial septic operational condition	none	NutrMV	0	0	AC	2	0	Y
Discharge	k_bank	channel bank hydraulic conductivity	mm/hr	ALL	20	0	AC	150	0	Y
Snow	k_blow	fraction of precipitation as snow	None	SNO_SP	1	1	RC	1	0	Y
Discharge	k_chb	channel bottom hydraulic conductivity	mm/hr	ALL	0.5	0	AC	150	0	Y
Snow	k_curvature	Curvature coefficient in wind direction	none	SRD_MB	145	0	AC	500	0	Y
InstreamWQ	k_l	Half saturation coefficient for light	kJ/(m2*min)	ChannelRouting	0.75	1	RC	1.135	0.223	Y
InstreamWQ	k_n	Michaelis-mention half-saturation constant for nitrogen	mg N/L	ChannelRouting	0.02	1	RC	0.03	0.01	Y
InstreamWQ	k_p	Michaelis-mention half-saturation constant for P	mg P/L	ChannelRouting	0.025	1	RC	0.05	0.001	Y
Climate	K_pet	Correction factor for PET	none	ALL	1	-0.3	AC	1.3	0.7	Y
Snow	K_rain	Rainfall impact factor	mm/mm/deg C/day	SNO_DD	0	0	AC	1	0	Y
WaterBalance	K_run	Runoff exponent when net rainfall approaches to zero	none	SUR_MR	2.5	0	AC	5	0	Y
Snow	k_slope	Slope coefficient in wind direction	none	SRD_MB	60	0	AC	100	0	Y
Snow	K_snow	Degree day coefficient	mm/deg C/day	SNO_DD	2	0	AC	5	0.5	Y
WaterBalance	k_soil10	ratio between soil temperature at 10 cm and the mean	none	STP_FP	1	0	AC	3	0	Y
Snow	k_subli	Praction of PET for sublimation	none	SSM_PE	1	0	AC	5	0	Y
Discharge	Kg	Baseflow recession coefficient	none	GW_RSVR	0.005	0	AC	0.1	0.001	Y
Discharge	Ki	Interflow scaling factor	none	SSR_DA	3	0	AC	10	0	Y
Nutrient	kn_paddy	nitrification rate constant in impounded water body	/day	IMP_SWAT	0.5	0	AC	2	0.02	Y
Nutrient	kv_paddy	volatilization rate constant in impounded water body	/day	IMP_SWAT	0.4	0	AC	0.8	0.043	Y
Snow	lag_snow	Snow temperature lag factor	none	SNO_SP	0.8	0	AC	1	0	Y
Nutrient	lambda0	Non-algal portion of hte light extinction coefficient	1/m	NutCHRout	1	0	AC	10	0	Y
Nutrient	lambda1	Linear algal self-shading coefficient	(1/m)1/(ug chla/L)	NutCHRout	0.03	1	RC	0.065	0.0065	Y
Nutrient	lambda2	Nonlinear alga self-shading coefficient	(1/m)(ug chla/L)^(-2/3)	NutCHRout	0.0541	1	RC	1	0	Y
Discharge	MANNING	Manning's n	none	ALL	-9999	0	AC	10	0.001	Y
WaterBalance	Moist_in	Initial soil moisture	m3/m3	ALL	-9999	1	RC	1	0.8	Y
Discharge	MSK_co1	Weighting factor of bankful flow	none	ChannelRouting	0.7	0	AC	1	0	Y
Discharge	MSK_X	Muskingum weighting factor	none	ChannelRouting	0.2	0	AC	0.5	0	Y
Nutrient	mumax	Maximum specific algal growth rate at 20 deg C	1/day	NutCHRout	2	1	RC	3	1	Y
Discharge	n_iter	maximum number of iteration	none	ChannelRouting	10	0	AC	30	3	Y
Discharge	n_iter_rs	Maximum number of reservoir routing iteration	none	ALL	10	0	AC	30	3	Y
PlantGrowth	n_updis	nitrogen uptake distribution parameter	None	BIO_EPIC	20	1	RC	100	0	Y
Nutrient	nactfr	nitrogen active pool fraction	none	NMINRL	0.02	1	RC	1	0	Y
PlantGrowth	nfixco	Nitrogen fixation coefficient	None	BIO_EPIC	0.5	1	RC	1	0	Y
PlantGrowth	nfixmx	Maximum daily-n fixation (kg/ha)	kg/ha	BIO_EPIC	20	1	RC	20	1	Y
InstreamWQ	nh3	Ammonia concentration in reach on the first day	mg N/L	ChannelRouting	0	0	AC	50	0	Y
InstreamWQ	no2	NO2-N concentration in reach on the first day	mg N/L	ChannelRouting	0	0	AC	10	0	Y
InstreamWQ	no3	NO3-N concentration in reach on the first day	mg N/L	ChannelRouting	0	0	AC	30	0	Y
Nutrient	nperco	Nitrogen percolation coefficient	none	NutrMV	0.5	0.005	RC	1	0	Y
Discharge	Ol_iuh	Overland flow IUH	none	ALL	-9999		NC	-9999	-9999	Y
Sediment	Omega	calibration coefficient of splash detachment erosion	none	SplashEro_Park	0.02	1	RC	10	0.0001	Y
InstreamWQ	orgn	Organic N concentration in reach on the first day	mg N/L	ChannelRouting	0	1	RC	100	0	Y
InstreamWQ	orgp	Organic P concentration in reach on the first day	mg P/L	ChannelRouting	0	1	RC	5	0	Y
WaterBalance	P_max	Maximum rainfall intensity when k_run = 1.0	mm	SUR_MR	30	0	AC	60	10	Y
Nutrient	p_n	Algal preference factor for ammonia	mg/L	NutCHRout	0.5	1	RC	1	0	Y
Sediment	p_rf	 Peak rate adjustment factor 	none	ChannelRouting	1	0	AC	3	1	Y
PlantGrowth	p_updis	phosphorus uptake distribution parameter	None	BIO_EPIC	20	1	RC	100	0	Y
Nutrient	phoskd	Phosphorus soil partitioning coefficient	m^3/Mg	NutrMV	175	25	AC	200	100	Y
Interception	Pi_b	Interception Storage Capacity Exponent	none	ALL	1.35	0	AC	1.5	0.5	Y
WaterBalance	Poreindex	Pore size distribution index	none	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	Porosity	Soil porosity	m3/m3	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	pot_k	hydraulic conductivity of soil surface of pothole	mm/hr	IMP_SWAT	0.1	0	AC	10	0.01	Y
Pothole	pot_no3l	Nitrate decay rate in impounded water body	1/day	IMP_SWAT	0	0	AC	1	0	Y
Pothole	pot_solpl	Soluble phosphorus decay rate in impounded water body	1/day	IMP_SWAT	0	0	AC	1	0	Y
Pothole	pot_tile	Average daily outflow to main channel from tile flow if drainage tiles are installed in the pothole.	mm	IMP_SWAT	0	0	AC	100	0	Y
Nutrient	pperco	Phosphorus percolation coefficient	none	NutrMV	10	7.5	AC	17.5	10	Y
Nutrient	psp	nitrogen active pool fraction	none	NMINRL	0.02	1	RC	1	0	Y
Discharge	q_iter	Thrashold of storage change rate	m3/s	ChannelRouting	0.01	0	AC	0.1	0.001	Y
Sediment	rain_yrs	number of yeares of data used to obtain values for RAINHHMX	none	MUSLE_I30	10	0	AC	10	5	Y
Sediment	RandRough	The random roughness	cm	SplashEro_KinEen	-9999	0	NC	20	0.05	Y
Nutrient	rca	Atmospheric deposition of ammonium	mg/L	ATMDEP	2	1	RC	2	0	Y
Nutrient	rcn	Atmospheric deposition of nitrate	mg/L	ATMDEP	1	1	RC	1	0	Y
Discharge	Reach	Reach properties	none	ALL	-9999	0	NC	-9999	-9999	Y
Discharge	ReachParameter	the parameters of each reach	none	ALL	-9999		NC	-9999	-9999	Y
Discharge	ReachParameter	Reach parameters such as mannning's n, upstream subbasins and so on.	none	ALL	-9999	0	AC	-9999	-9999	N
WaterBalance	Residual	soil residual moisture	m3/m3	ALL	-9999	1	RC	1.2	0.8	Y
Nutrient	rhoq	Algal respiration rate at 20 deg C	1/day	NutCHRout	0.3	1	RC	0.05	0.5	Y
Nutrient	rk1	Carbonaceous biological oxygen demand deoxygenation rate coefficient in the reach at 20 deg C	1/day	NutCHRout	1.71	1	RC	3.4	0.02	Y
Nutrient	rk2	Oxygen reaeration rate in accordance with Fickian diffusion in the reach at 20 deg C	1/day	NutCHRout	50	0	AC	100	0	Y
Nutrient	rk3	Rate of loss of carbonaceous biological oxygen demand due to settling in the reach at 20 deg C	1/day	NutCHRout	0.36	1	RC	0.36	-0.36	Y
Nutrient	rk4	Benthic oxygen demand rate in the reach at 20 deg C	(m**2)*day)	NutCHRout	2	1	RC	100	0	Y
Nutrient	rnum1	Fraction of overland flow	none	NutCHRout	0.05	1	RC	1	0	Y
WaterBalance	Rootdepth	Root depth	m	ALL	-9999	1	RC	1.5	0.2	Y
Discharge	ROUTING_LAYERS	Routing layers according to the flow direction	none	ALL	-9999	0	AC	-9999	-9999	N
Nutrient	rs1	Ldeg Cal algal settling rate in the reach at 20 deg C	m/day	NutCHRout	1	1	RC	1.82	0.15	Y
Nutrient	rs2	Benthic (sediment) source rate for dissolved phosphorus in the reach at 20 deg C	mg disP-P)/((m**2)*day	NutCHRout	0.05	1	RC	0.1	0.001	Y
Nutrient	rs3	Benthic source rate for NH4-N in the reach at 20 deg C	mg NH4-N)/((m**2)*day	NutCHRout	0.5	1	RC	1	0	Y
Nutrient	rs4	Rate coefficient for organic N settling in the reach at 20 deg C	1/day	NutCHRout	0.05	1	RC	0.1	0.001	Y
Nutrient	rs5	Organic phosphorus settling rate in the reach at 20 deg C	1/day	NutCHRout	0.05	1	RC	0.1	0.001	Y
Sediment	rsd_covco	residue cover factor for computing fraction of cover	none	MUSLEC_LAI	0.3	0	AC	0.5	0.1	Y
WaterBalance	Runoff_co	Potential runoff coefficient	none	SUR_MR	-9999	2	RC	1	0.5	Y
WaterBalance	rv_co	Groundwater revap coefficient	none	GW_RSVR	0	0	AC	0.2	0	Y
WaterBalance	s_frozen	Frozen moisture relative to porosity with no infiltration	none	ALL	0.5	0	AC	1	0.1	Y
Discharge	s_iter	Threshold of reservoir storage change rate	m3	ALL	50	0	AC	1000	10	Y
WaterBalance	Sand	Sand proportion	%	ALL	-9999	1	RC	1.2	0.8	Y
Nutrient	sdnco	denitrification threshold: fraction of field capacity	none	NMINRL	1.02	0.8	RC	1	0	Y
Sediment	sed_chi	Initial channel sediment concentration	ton/m^3	ChannelRouting	0.03	0	AC	0.848	0	Y
Snow	shc	Snow holding capacity	m	SRD_MB	-9999	1	RC	3	0.5	Y
Snow	shc_crop	snow holding capacity of cropland	mm	SRD_MB	50	0	NC	0.1	0	Y
WaterBalance	Slope	Slope	%	ALL	-9999	1	RC	1.1	0.9	Y
Snow	slope_wind	Slope along wind direction	%	SRD_MB	-9999		NC	0	0	Y
Snow	SNO50COV	Fraction of snow water equivalent that corresponds to 50% snow cover.	None	SNO_SP	0.5	1	RC	1	0	Y
Snow	SNOCOVMX	Minimum snow water content that corresponds to 100% snow cover.	mm	SNO_SP	1	0	AC	500	0	Y
WaterBalance	soil_t10	soil temperature relative to short grass cover	deg C	STP_FP	-9999	1	RC	2	0	Y
WaterBalance	soil_ta0	Empirical coefficient for estimating soil temperature	deg C	STP_FP	4.768	0	AC	10	0	Y
WaterBalance	soil_ta1	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.174	0	AC	1	0	Y
WaterBalance	soil_ta2	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.163	0	AC	1	0	Y
WaterBalance	soil_ta3	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.223	0	AC	1	0	Y
WaterBalance	soil_tb1	Empirical coefficient for estimating soil temperature	deg C	STP_FP	-1.361	0	AC	0	-5	Y
WaterBalance	soil_tb2	Empirical coefficient for estimating soil temperature	deg C	STP_FP	-3.762	0	AC	0	-5	Y
WaterBalance	soil_td1	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.057	0	AC	1	0	Y
WaterBalance	soil_td2	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.339	0	AC	1	0	Y
WaterBalance	soiltemp0	Initial soil temperature	deg C	SOI_EB	-9999	1	RC	1.2	0.8	Y
Sediment	spcon	Coefficient in sediment transport equation	none	ChannelRouting	0.0001	1	RC	0.01	0.0001	Y
Sediment	spexp	Exponent in sediment transport equation	none	ChannelRouting	1.5	0	AC	2	1	Y
Sediment	Spl_delratio	Splash delivery ratio	none	SplashEro_KinEen	0.1	1	RC	1	0	Y
Discharge	STREAM_LINK	Stream link	none	ALL	-9999	0	AC	-9999	-9999	N
Discharge	STREAM_ORDER	Stream Order	none	ALL	-9999	0	AC	-9999	-9999	N
Snow	subbasin	subbasin identity	none	ALL	-9999	0	NC	100	0	Y
Snow	swe0	Initial snow water equivalent	mm	ALL	10	0	AC	300	0	Y
Snow	T_snow	Snowfall temperature	deg C	ALL	0	0	AC	2	-2	Y
WaterBalance	t_soil	Soil freezing temperature	deg C	ALL	-5	0	AC	0	-15	Y
Snow	T_wind	temperature at which wind transport of snow is most favorable	deg C	SRD_MB	-27.27	0	NC	-20	-35	Y
Snow	T0	Snowmelt temperature	deg C	ALL	1	0	AC	3	-1	Y
Sediment	T0_s	time of concentration	hr	ALL	-9999	0	NC	-9999	-9999	Y
Nutrient	tfact	Fraction of solar radiation that is photosynthetically active	none	NutCHRout	0.3	1	RC	1	0	Y
Discharge	THETA	Parameter theta for the implicit finite deffirent equation	none	ALL	0.75	0	AC	1	0	Y
Snow	U0	Wind speed over Ut at which WWi=1	m/s	SRD_MB	10	0	AC	1	0.2	Y
Sediment	USLE_C	the cover management factor	none	ALL	-9999	1	RC	1	0	Y
Sediment	USLE_K	the soil erodibility factor	none	ALL	-9999	0.5	RC	1	0	Y
Sediment	USLE_P	the erosion control practice factor	none	ALL	-9999	1	RC	1	0	Y
Snow	Ut0	Threshold wind speed at -27 degree	m/s	SRD_MB	6.98	0	AC	10	4	Y
Sediment	vcd	channel degredation code	None	SEDR	0	0	AC	1	0	Y
Sediment	vcrit	critical veldeg Ctiy for sediment deposition	m/s	ChannelRouting	0.01	0	AC	1	0	Y
Discharge	VelScaleFactor	Scale factor used to adjust V0 in CH_MUSK	none	CH_MUSK	1	-0.5	AC	1.5	0.5	Y
Climate	Weight_P	Weight Coefficient of Precipitation	none	ALL	-9999		NC	-9999	-9999	Y
Climate	Weight_PET	Weight Coefficient of Potential Evapotranspiration	none	ALL	-9999		NC	-9999	-9999	Y
Climate	Weight_T	Weight Coefficient of Temperature	none	ALL	-9999		NC	-9999	-9999	Y
WaterBalance	Wiltingpoint	Plant wilting point moisture	m3/m3	ALL	-9999	1	RC	1.2	0.8	Y
