ID	NAME	BMPID	SUBSCENARIO	DISTRIBUTION	COLLECTION	LOCATION
2	DemoExtend	1	40007	ARRAY|point_source_distribution|40000	point_source_management	40003
2	DemoExtend	1	40008	ARRAY|point_source_distribution|40000	point_source_management	40004
3	Base2	12	0	RASTER|MGT_FIELDS	plant_management	ALL
3	Base2	12	1	RASTER|MGT_FIELDS	plant_management	ALL
3	Base2	1	10002	ARRAY|point_source_distribution|10000	point_source_management	10001,10002
3	Base2	1	20002	ARRAY|point_source_distribution|20000	point_source_management	20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,20017,20018,20019,20020,20021,20022,20023,20024,20025,20026,20027,20028
3	Base2	1	40001	ARRAY|point_source_distribution|40000	point_source_management	40001
3	Base2	1	40002	ARRAY|point_source_distribution|40000	point_source_management	40002
3	Base2	1	40003	ARRAY|point_source_distribution|40000	point_source_management	40003
3	Base2	1	40004	ARRAY|point_source_distribution|40000	point_source_management	40004
4	Demo2	12	0	RASTER|MGT_FIELDS	plant_management	ALL
4	Demo2	12	1	RASTER|MGT_FIELDS	plant_management	ALL
4	Demo2	1	10002	ARRAY|point_source_distribution|10000	point_source_management	10001
4	Demo2	1	10003	ARRAY|point_source_distribution|10000	point_source_management	10002
4	Demo2	1	20002	ARRAY|point_source_distribution|20000	point_source_management	20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,20017,20018,20019,20020,20021,20022,20024,20025,20026,20027,20028
4	Demo2	1	20003	ARRAY|point_source_distribution|20000	point_source_management	20023
4	Demo2	1	40005	ARRAY|point_source_distribution|40000	point_source_management	40001
4	Demo2	1	40006	ARRAY|point_source_distribution|40000	point_source_management	40002
4	Demo2	1	40007	ARRAY|point_source_distribution|40000	point_source_management	40003
4	Demo2	1	40008	ARRAY|point_source_distribution|40000	point_source_management	40004
5	Base3	12	0	RASTER|MGT_FIELDS	plant_management	ALL
5	Base3	12	1	RASTER|MGT_FIELDS	plant_management	ALL
5	Base3	1	10004	ARRAY|point_source_distribution|10000	point_source_management	10001,10002
5	Base3	1	20004	ARRAY|point_source_distribution|20000	point_source_management	20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,20017,20018,20019,20020,20021,20022,20023,20024,20025,20026,20027,20028
5	Base3	1	40001	ARRAY|point_source_distribution|40000	point_source_management	40001
5	Base3	1	40002	ARRAY|point_source_distribution|40000	point_source_management	40002
5	Base3	1	40003	ARRAY|point_source_distribution|40000	point_source_management	40003
5	Base3	1	40004	ARRAY|point_source_distribution|40000	point_source_management	40004
6	Demo3	12	0	RASTER|MGT_FIELDS	plant_management	ALL
6	Demo3	12	1	RASTER|MGT_FIELDS	plant_management	ALL
6	Demo3	1	10004	ARRAY|point_source_distribution|10000	point_source_management	10001
6	Demo3	1	10003	ARRAY|point_source_distribution|10000	point_source_management	10002
6	Demo3	1	20004	ARRAY|point_source_distribution|20000	point_source_management	20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,20017,20018,20019,20020,20021,20022,20024,20025,20026,20027,20028
6	Demo3	1	20003	ARRAY|point_source_distribution|20000	point_source_management	20023
6	Demo3	1	40005	ARRAY|point_source_distribution|40000	point_source_management	40001
6	Demo3	1	40006	ARRAY|point_source_distribution|40000	point_source_management	40002
6	Demo3	1	40007	ARRAY|point_source_distribution|40000	point_source_management	40003
6	Demo3	1	40008	ARRAY|point_source_distribution|40000	point_source_management	40004
23737637	sName23737637	12	2	RASTER|MGT_FIELDS	PLANT_MANAGEMENT	ALL
23737637	sName23737637	12	3	RASTER|MGT_FIELDS	PLANT_MANAGEMENT	ALL
23737637	sName23737637	1	10002	ARRAY|POINT_SOURCE_DISTRIBUTION|10000	POINT_SOURCE_MANAGEMENT	10001
23737637	sName23737637	1	10003	ARRAY|POINT_SOURCE_DISTRIBUTION|10000	POINT_SOURCE_MANAGEMENT	10002
23737637	sName23737637	1	20002	ARRAY|POINT_SOURCE_DISTRIBUTION|20000	POINT_SOURCE_MANAGEMENT	20001,20002,20003,20004,20005,20007,20010,20011,20012,20013,20016,20017,20018,20022,20024,20027
23737637	sName23737637	1	20003	ARRAY|POINT_SOURCE_DISTRIBUTION|20000	POINT_SOURCE_MANAGEMENT	20006,20008,20009,20014,20015,20019,20020,20021,20023,20025,20026,20028
23737637	sName23737637	1	40005	ARRAY|POINT_SOURCE_DISTRIBUTION|40000	POINT_SOURCE_MANAGEMENT	40001
23737637	sName23737637	1	40006	ARRAY|POINT_SOURCE_DISTRIBUTION|40000	POINT_SOURCE_MANAGEMENT	40003
23737637	sName23737637	1	40007	ARRAY|POINT_SOURCE_DISTRIBUTION|40000	POINT_SOURCE_MANAGEMENT	40002
23737637	sName23737637	1	40008	ARRAY|POINT_SOURCE_DISTRIBUTION|40000	POINT_SOURCE_MANAGEMENT	40004

